Team 1,Team 2,Result
Sejong Sportstoto,Suwon Football Club,-:-
Minaur Baia Mare,Futball Klub Csikszereda Miercurea Ciuc,-:-
CS Metaloglobus Bucharest,Asociatia Fotbal Club Unirea 04 Slobozia,-:-
Societatea Sportiva Universitara Politehnica Timisoara,CSC 1599 Selimbar,-:-
Progresul Spartac 1944 Bucuresti,FC Ripensia Timisoara,-:-
Viitorul Targu Jiu,Clubul Sportiv Concordia Chiajna,-:-
Shillong Lajong FC,United Sports Club,-:-
FK Kyran,FK Akademiya Ontustik,-:-
FK Dinamo Moskva,FC Ural Yekaterinburg,-:-
FK Khimki Moskovska oblast,FK Krylya Sovetov Samara,-:-
Abahani Limited Dhaka,Rahmatganj Muslim Friends Society,-:-
Sheikh Jamal DC,Muktijoddha Sangsad Dhaka,-:-
Sheikh Russel Krira Chakra,Chittagong Abahani Limited,-:-
Newcastle United Jets FC,Macarthur Football Club,-:-
Shimshon Tel Aviv,Hapoel Kfar Shalem,-:-
Broadmeadow Magic FC,New Lambton FC,-:-
Valentine FC,Newcastle Olympic FC,-:-
Green Gully Soccer Club,Hume City FC,-:-
FK Lida,Football Club BumProm Gomel,-:-
Football Club Bengaluru United,Chennaiyin FC,-:-
FC Ryazan,FC Kosmos Dolgoprudny,-:-
FC Chertanovo Moscow,PFK CSKA Moskva,-:-
Gyeongju WFC,Changnyeong WFC,-:-
Hwacheon KSPO Jeonbuk,Incheon Hyundai Steel Red Angels Women's Football Club,-:-
Seoul WFC,Boeun Sangmu WFC,-:-
Minaj,Kryvbas,-:-
Cranborne Bullets,Yadah FC,-:-
Mara Sugar FC,Coastal Heroes,-:-
Glenorchy Knights,South Hobart FC,-:-
Altona Magic SC,St Albans Saints Dinamo soccer club,-:-
FC Lokomotiv 1929 Sofia,FC Pirin Blagoevgrad,-:-
Shimshon Kafr Qasim,Maccabi Herzliya FC,-:-
FK BATE Borisov,FK Dinamo Minsk,-:-
FK Khan Tengri,FK Kairat Almaty,-:-
CS Popesti Leordeni,CS Real Bradu,-:-
FC Akhmat Grozny,UOR 5-Yegoryevsk,-:-
FK Rostov,FK Zenit Petrohrad,-:-
FK Kuban Krasnodar,FC Nizhny Novgorod,-:-
FK Inhulets Petrove,Kolos Kovalivka,-:-
FC Slonim,Football Club Molodechno-2018,-:-
Gokulam Kerala FC,FC Goa,-:-
Hapoel Herzliya FC,Hapoel Bikat Hayarden,-:-
Hapoel Ironi Marmorek Rehovot Football Club,Maccabi Yavne,-:-
Holon Yermiyahu,Beitar Tel Aviv Ramla FC,-:-
Maccabi Shaarayim FC,Maccabi Ironi Ashdod F.C.,-:-
MS Ironi Kuseife,Bnei Eilat,-:-
SC Dimona,Ironi Modiin,-:-
FK Naftan Novopolock,FK Minsk,-:-
PFK Etar 1924 Veliko Tarnovo,PFK Minjor Pernik,-:-
Watford Football Club,Ipswich Town Football Club,-:-
Dire Dawa City,Bahir Dar Kenema FC,-:-
Hapoel Bueine,Hapoel Kafr Kanna,-:-
Hapoel Kaukab,Ihud Bnei Shfaram,-:-
Hapoel Migdal HaEmek,Hapoel Bnei Zalfa,-:-
Hapoel Ironi Baka El Garbiya,Maccabi Kiryat Ata-Bialik,-:-
Ironi Nesher,Hapoel Qalansawe,-:-
Tzeirey Tayibe,MS Tira,-:-
Tzeirei Kafr Kanna,Maccabi Nujeidat Ahmad,-:-
FK Fakel Voronez,FK Torpedo Moscow,-:-
Al-Ittihad of Aleppo,Al-Wahda Sports Club (Damascus),-:-
Al-Foutoua,Al-Karamah Sporting Club,-:-
Rukh Lviv,FC Dynamo Kyiv,-:-
Mombasa Elite FC,Kibera Black Stars FC,-:-
SS Assad FC,Shabana,-:-
Kisumu All-Stars,Darajani Gogo,-:-
FK Maxline,Football Club Ostrovets,-:-
FK Septemvri Sofia,FC CSKA 1948 Sofia,-:-
Royal Excelsior Virton,Koninklijke Voetbalclub Oostende,-:-
HSK Zrinjski Mostar,FK Zeljeznicar Sarajevo,-:-
Hull City FC,Colchester United FC,-:-
1. Fussballclub Magdeburg,FC Energie Cottbus e. V.,-:-
Bnei Yehuda Tel-Aviv FC,Maccabi Kabilio Jaffa Football Club,-:-
Hapoel Petah-Tikva FC,Hapoel Akko FC (Hapoel Acre FC),-:-
Hapoel Ironi Rishon LeZion,Hapoel Afula FC,-:-
Ironi Tiberias,Maccabi Petah-Tikva FC,-:-
Maccabi Nazareth FC,Hapoel Ramat Gan Giv'atayim,-:-
Hapoel Ironi Nir Ramat HaSharon Football Club,Hapoel Nof HaGalil,-:-
Football Club Zhenis,FC Arys,-:-
Lun Lok,Tak Chun Ka I,-:-
FK Krasnodar,FK Strogino Moscow,-:-
Navbahor Professional FC,PFK Andijan Tashkent,-:-
Simba Bhora FC,Hwange Colliery,-:-
PFK Qizilqum Zarafshon,Termez Surkhon,-:-
Zira FK,Sabail,-:-
NK Kustosija Zagreb,Nogometni klub Rudes,-:-
Arema FC,Bhayangkara Solo Football Club,-:-
PS Barito Putera,Persatuan Sepak Bola Indonesia Tangerang,-:-
Carmen Bucuresti,ACS ASU Politehnica Timisoara,-:-
Asociacion Atletica Argentinos Juniors,Club Atletico Huracan,-:-
Club Atletico Barracas Central,Club Atletico Velez Sarsfield,-:-
Club Estudiantes de La Plata,Club Atletico Boca Juniors,-:-
Club Atletico San Lorenzo de Almagro,Club Atletico Talleres,-:-
Club Atletico Tigre,Club Atletico Union de Santa Fe,-:-
FK Isloc Minsk,FC Belshina Bobruisk,-:-
